id,name
305,Ray Milland
306,Bing Crosby
307,Paul Lukas
308,Robert Donat
309,Paul Muni
310,Victor McLaglen
311,Charles Laughton
312,Wallace Beery
313,Lionel Barrymore
314,Jeff Goldblum
315,Chris Hemsworth
316,Warner Baxter
317,Emil Jannings
318,Chris Cooper
319,Jim Broadbent
320,James Coburn
321,Cuba Gooding Jr.
322,Martin Landau
323,Jack Palance
324,Kevin Kline
325,Don Ameche
326,Kate Beckinsale
327,Zooey Deschanel
328,Michelle Williams
329,Milla Jovovich
330,Selena Gomez
331,Rachel Weisz
332,Kristen Bell
333,Katherine Heigl
334,Liv Tyler
335,Jessica Chastain
336,Megan Fox
337,Betty White
338,Geraldine Page
339,Eliza Dushku
340,Robin Wright
341,Leighton Meester
342,Jennifer Jones
343,Shirley Temple
344,Julia Louis-Dreyfus
345,Olivia Thirlby
346,Cher
347,Sissy Spacek
348,Louise Fletcher
349,Julie Christie
350,Patricia Neal
351,Haing S. Ngor
352,Louis Gossett Jr.
353,John Gielgud
354,Timothy Hutton
355,Melvyn Douglas
356,Jason Robards
357,George Burns
358,Christian Bale
359,Ethan Hawke
360,Ben Johnson
361,John Mills
362,Jack Albertson
363,Sean Penn
364,George Kennedy
365,Walter Matthau
366,Martin Balsam
367,Peter Ustinov
368,Ed Begley
369,George Chakiris
370,Hugh Griffith
371,Burl Ives
372,Red Buttons
373,Edmond O'Brien
374,Chris Pratt
375,Frank Sinatra
376,Anne Bancroft
377,Kim Novak
378,Simone Signoret
379,Ellen Page
380,Angela Lansbury
381,Judy Holliday
382,Loretta Young
383,Shirley Jones
384,Vera Farmiga
385,Helen Hayes
386,Marie Dressler
387,Janet Gaynor
388,Lupita Nyong'o
389,Octavia Spencer
390,Melissa Leo
391,Mo'Nique
392,Marlee Matlin
393,Tilda Swinton
394,Jennifer Hudson
395,Renée Zellweger
396,Marcia Gay Harden
397,Anna Paquin
398,Marisa Tomei
399,Mercedes Ruehl
400,Brenda Fricker
401,Jean Reno
402,George Sanders
403,Dean Jagger
404,Walter Huston
405,Edmund Gwenn
406,Harold Russell
407,Hugh Grant
408,Barry Fitzgerald
409,Charles Coburn
410,Van Heflin
411,Donald Crisp
412,Thomas Mitchell
413,Walter Brennan
